14690,MONNFR21XXX,Monabanq.
14706,AGRIFRCC847,Caisse régionale de crédit agricole mutuel Atlantique Vendée
14707,CCBPFRPPMTZ,Banque populaire Alsace Lorraine Champagne
14806,AGRIFRCC848,Caisse régionale de crédit agricole mutuel Centre Loire
14879,BKIDFRPPXXX,Bank of India
14908,POSOMCM1XXX,Banca popolare di Sondrio (Suisse)
14940,CFFIFR2LXXX,Cofidis
15068,PICTFRPPXXX,Pictet & Cie (Europe) SA
15128,VOWAFR21XXX,Volkswagen bank GmbH
15208,CRMPFRP1XXX,Crédit municipal de Paris
15250,SMBCFRPPGEB,Sumitomo Mitsui banking corporation Europe limited
15298,DISFFRPPXXX,RBC Investor services bank France SA
15448,CNFSFR21XXX,CNH Industrial Financial Services
15519,CRMUFRCCCMO,Caisse fédérale du crédit mutuel Océan
15629,CMCIFRCPCMN,Caisse fédérale du crédit mutuel Nord Europe
13807,CCBPFRPPNAN,Banque populaire Atlantique
13906,AGRIFRCC839,Caisse régionale de crédit agricole mutuel Sud Rhône-Alpes
14006,AGRIGPGXXXX,Caisse régionale de crédit agricole mutuel de la Guadeloupe
14040,GOLDFRP1XXX,Goldman Sachs Paris Inc et Cie
14120,LEGRFRP1XXX,GRESHAM Banque
14139,NBPAFRPPXXX,National bank of Pakistan
14388,DXMAFRCCXXX,Caisse Française de Financement Local
14406,AGRIFRCC844,Caisse régionale de crédit agricole mutuel Val de France
14506,AGRIFRCC845,Caisse régionale de crédit agricole mutuel Loire Haute-Loire
14508,BAERMCMCXXX,ING bank (Monaco) S.A.M.
14568,HANDFRPPXXX,Svenska handelsbanken AB (publ)
14607,CCBPFRPPMAR,BANQUE POPULAIRE MEDITERRANEE
14628,GRCSFRP1XXX,Banque du groupe Casino
17789,DEUTFRPPSEC,Deutsche bank AG
17799,SEPBFRPPXXX,Bank Sepah
17806,AGRIFRCC878,Caisse régionale de crédit agricole mutuel Centre-Est
17807,CCBPFRPPTLS,Banque populaire Occitane
17839,GMACFR21XXX,GMAC Banque
17906,AGRIFRCC879,Caisse régionale de crédit agricole mutuel de l'Anjou et du Maine
17919,QNBAFRPPXXX,Qatar national bank
17959,BAMYFR22XXX,Banque Michel Inchauspé - BAMI
17979,ARABFRPPXXX,Europe arab bank PLC
18050,CCMLFR21XXX,Caisse de crédit municipal de Lyon
18059,MIDLFRCPXXX,HSBC bank plc
18079,SOGEGPGPXXX,Société générale de banque aux Antilles
18089,AUDIFRPPXXX,Bank Audi France
18106,AGRIFRCC881,Caisse régionale de crédit agricole mutuel des Savoie
18129,ISAEFRPPXXX,CACEIS Bank
18189,CGCPFRPLXXX,Compagnie générale de crédit aux particuliers - Crédipar
18206,AGRIFRCC892,Caisse régionale de crédit agricole mutuel de Paris et d'Ile-de-France
18306,AGRIFRCC883,Caisse régionale de crédit agricole mutuel Normandie-Seine
18329,SBINFRPPXXX,State bank of India
18359,CPMEFRPPXXX,Bpifrance Financement
18370,GPBAFRPPXXX,ORANGE BANK
18450,CMROFR21XXX,Caisse de crédit municipal de Roubaix
18470,CCMTFR21XXX,Caisse de crédit municipal de Nantes
18529,MHCBFRPP,Mizuho bank ltd Paris branch
18569,BMISFRPPXXX,Banque Misr
18609,CCIFFRPPXXX,Caisse centrale du crédit immobilier de France-3CIF
13369,BMMMFRCPXXX,Rothschild Martin Maurel
18689,FRAFFRPPXXX,Fransabank France S.A.
18706,AGRIFRCC887,Caisse régionale de crédit agricole mutuel Brie Picardie
15668,BNPAFRPLXXX,BNP Paribas home loan SFH
15798,FBNIFRPPXXX,FBN bank (UK) Ltd
15818,BIKCFRP1XXX,Binckbank NV
15868,SXFRFRP1XXX,Saxo banque (France)
15968,GSCFFR22XXX,Société Générale SCF
16006,AGRIFRCC860,Caisse régionale de crédit agricole mutuel du Morbihan
16038,DXPBMCMXXXX,BANQUE HAVILLAND (MONACO) S.A.M.
16048,ECOCFRPPXXX,Ebi SA
16078,BNPAFRPSXXX,BNP Paribas Public Sector SCF
16106,AGRIFRCC861,Caisse régionale de crédit agricole mutuel de Lorraine
16158,BGFIFRPPXXX,BGFIBANK EUROPE
16170,CMUBFR21XXX,Caisse de crédit municipal de Boulogne-sur-Mer
16218,BFOBFRP1XXX,Bforbank
16560,CCMOFR21XXX,Caisse de crédit municipal de Bordeaux
16606,AGRIFRCC866,Caisse régionale de crédit agricole mutuel de Normandie
16607,CCBPFRPPPPG,Banque populaire du Sud
16706,AGRIFRCC867,Caisse régionale de crédit agricole mutuel Nord de France
16707,CCBPFRPPREN,Banque populaire de l'Ouest
16806,AGRIFRCC868,Caisse régionale de crédit agricole mutuel de Centre France - Crédit agricole Centre France (3ème du nom)
16807,CCBPFRPPGRE,BANQUE POPULAIRE AUVERGNE RHONE ALPES
16850,AGRIFRP1EFG,Crédit agricole leasing & factoring
16906,AGRIFRCC869,Caisse régionale de crédit agricole mutuel Pyrénées-Gascogne
16989,CAVNFR21XXX,Mobilis banque
17106,AGRIFRCC871,Caisse régionale de crédit agricole mutuel Sud-Méditerranée (Ariège et Pyrénées-Orientales)
17149,CCBPFRPP149,Caisse régionale de crédit maritime mutuel de Bretagne-Normandie
17150,CCUTFR21XXX,Caisse de crédit municipal de Toulon
17169,CCBPFRPP169,Caisse régionale de crédit maritime mutuel du littoral du sud ouest
17179,CMMMFR21XXX,Caisse régionale de crédit maritime mutuel de la Méditerranée
17206,AGRIFRCC872,Caisse régionale de crédit agricole mutuel Alsace Vosges
17219,CCBPFRPP219,Caisse régionale de crédit maritime mutuel Atlantique
17290,CLFRFRCCXXX,Dexia crédit local
17439,SODIRER1XXX,Société financière pour le développement de la Réunion (S.O.F.I.D.E.R.)
17519,BACPFRPPXXX,Banque centrale de compensation
17569,CMBMMCMXXXX,Compagnie monegasque de banque
17599,BLOMFRPPXXX,Blom bank France
17619,BEMOFRPPXXX,BEMO EUROPE - BANQUE PRIVEE
17620,CCMNFR21XXX,Caisse de crédit municipal de Nîmes
17649,REVIFRPPXXX,Banque Revillon
17679,SEBXFRP1XXX,Société de banque et d'expansion - S.B.E. (2ème du nom)
17779,SBAAFRPPXXX,Banque SBA
18707,CCBPFRPPVER,Banque populaire Val de France (2ème du nom)
18719,BFCORERXXXX,Banque Française Commerciale Océan Indien
18759,EFGBMCMCXXX,EFG Bank (Monaco)
18769,BKCHFRPPXXX,Bank of China limited
18789,ICBCFRPPXXX,"Mega international commercial bank Co, Ltd"
18869,FEMUFR21BDF,Banque française mutualiste - B.F.M.
18950,CSCAFR21XXX,Caisse de crédit municipal d'Avignon
18979,ABCOFRPPXXX,ABC international bank plc
19000,IVSTFRP1SMA,Société auxiliaire d'études et d'investissements mobiliers - Investimo
19069,KBLXFRPPXXX,KBL Richelieu banque privée
19106,AGRIFRCC891,Caisse régionale de crédit agricole mutuel Provence-Côte d'Azur (Alpes de Haute-Provence-Alpes-maritimes-Var)
19229,BSABFRPPXXX,Banco de Sabadell
